"time","LT0","LT1","RBC0","RBC1","GM0","GM1","BMrec0","BMrec1","cd4rec0","cd8rec0","cd4rec1","cd8rec1"
186.5,1159.06289584559,115.906289584557,17660483163089.1,1766048316308.88,5840916785.36269,584091678.536264,614964526.628265,61496452.6628267,200611248.537552,58002872.8923149,20094897.2793572,5804871.30954007
187,1159.06354842541,115.906354842538,17661507999375.3,1766150799937.5,5840948343.6154,584094834.361534,615020958.247843,61502095.8247846,201677590.868871,58324161.0551378,20202014.1748418,5837068.67583877
187.5,1159.06418580445,115.906418580443,17662515351949.4,1766251535194.91,5840979169.46274,584097916.946268,615076960.896431,61507696.0896433,202744900.153856,58645863.6920988,20309232.6832557,5869308.2420714
188,1159.06480833434,115.906480833431,17663505513389.6,1766350551338.93,5841009279.77391,584100927.977385,615132537.745903,61513253.7745905,203813165.815774,58967978.0051415,20416551.7744041,5901589.73344111
188.5,1159.06541636444,115.906541636441,17664478776163.3,1766447877616.31,5841038691.31214,584103869.131207,615187692.001017,61518769.200102,204882377.172531,59290501.1681695,20523970.4080059,5933912.87243963
189,1159.0660102262,115.906601022617,17665435419896.5,1766543541989.62,5841067419.98303,584106741.998296,615242426.753559,61524242.6753561,205952523.922264,59613430.4555416,20631487.5810001,5966277.39146789
189.5,1159.06659026473,115.90665902647,17666375737379.5,1766637573737.93,5841095482.34931,584109548.234923,615296745.278897,61529674.5278901,207023595.155589,59936762.9806979,20739102.231359,5998683.00717317
190,1159.06715678422,115.906715678419,17667299988796.6,1766729998879.63,5841122893.01171,584112289.301163,615350650.512647,61535065.051265,208095581.097855,60260496.1571933,20846813.4077094,6031129.46570711
190.5,1159.06771010489,115.906771010486,17668208449675,1766820844967.47,5841149667.34233,584114966.734225,615404145.593945,61540414.5593948,209168471.300116,60584627.2199963,20954620.0932097,6063616.49573346
191,1159.06825053913,115.906825053911,17669101390830,1766910139082.97,5841175820.3388,584117582.033871,615457233.639559,61545723.3639561,210242255.391195,60909153.4244953,21062521.2787886,6096143.82796824
191.5,1159.06877838283,115.90687783828,17669979070395.3,1766997907039.5,5841201366.20792,584120136.620784,615509917.651163,61550991.7651165,211316923.385868,61234072.1280584,21170515.9931004,6128711.20317536
192,1159.06929392997,115.906929392995,17670841746523,1767084174652.26,5841226319.06794,584122631.906786,615562200.660729,61556220.0660732,212392465.200815,61559380.6619431,21278603.2554406,6161318.3596018
192.5,1159.0697974691,115.906979746908,17671689674292.2,1767168967429.19,5841250692.77598,584125069.27759,615614085.694664,61561408.5694666,213468870.773969,61885076.3628695,21386782.087356,6193965.03607518
193,1159.07028927617,115.907028927615,17672523099540.7,1767252309954.04,5841274500.58719,584127450.05871,615665575.695688,61566557.569569,214546130.323902,62211156.6416879,21495051.537862,6226650.97873636
193.5,1159.07076962625,115.907076962623,17673342268840.4,1767334226884.01,5841297755.71414,584129775.571405,615716673.645146,61571667.3645148,215624233.943197,62537618.8757373,21603410.643897,6259375.93048287
194,1159.0712387888,115.907123878878,17674147425364.3,1767414742536.39,5841320471.10353,584132047.110344,615767382.514444,61576738.2514446,216703171.759635,62864460.451516,21711858.4460125,6292139.63515705
194.5,1159.07169702087,115.907169702085,17674938802878.6,1767493880287.83,5841342659.10576,584134265.910567,615817705.184919,61581770.5184922,217782934.202226,63191678.8351131,21820394.0142124,6324941.84444575
195,1159.07214457681,115.907214457679,17675716634083.8,1767571663408.34,5841364331.94339,584136433.19433,615867644.554084,61586764.4554087,218863511.64817,63519271.4787417,21929016.4136332,6357782.30871767
195.5,1159.07258171018,115.907258171016,17676481152454,1767648115245.37,5841385501.80184,584138550.180173,615917203.560163,61591720.3560166,219944894.34123,63847235.7991229,22037724.69664,6390660.77491138
